구분,성별,부위,순위,브랜드,아이템명,색상,이미지경로,이미지URL,디테일페이지URL
29cm,여성,상의,2,파르티멘토 우먼,PWC RIBBED EVERYDAY SHORT SLEEVE TEE_8COLOR,기본,29cm/여성/상의/02_파르티멘토 우먼/PWC RIBBED EVERYDAY SHORT SLEEVE TEE_8COLOR/기본.jpg,https://img.29cm.co.kr/item/202602/11f1065dae819920a54003691a5d42ed.jpg,https://www.29cm.co.kr/product/catalog/3751730
29cm,여성,상의,6,미치코런던 코시노,Summer Feeling Tee Pink,기본,29cm/여성/상의/06_미치코런던 코시노/Summer Feeling Tee Pink/기본.jpg,https://img.29cm.co.kr/item/202605/11f14ec53b9fd3cb8e7dbf70a6dd7aa5.jpg,https://www.29cm.co.kr/product/catalog/3947586
29cm,여성,상의,13,파르티멘토,Sheer Check Roll Up Shirts Navy,기본,(이미지 미포함),https://img.29cm.co.kr/item/202504/11f01c1ba0d95e05b170cb020bf2728e.jpg?width=1200&amp;format=webp,https://www.29cm.co.kr/product/catalog/3219121
29cm,여성,상의,17,가니송,Fleur Pleats Blouse_7colors,기본,29cm/여성/상의/17_가니송/Fleur Pleats Blouse_7colors/기본.jpg,https://img.29cm.co.kr/item/202603/11f116cdad7133fea540d387f89f662f.jpg,https://www.29cm.co.kr/product/catalog/3097248
29cm,여성,하의,2,미치코런던 코시노,(Uni) Vivid One-mile Pants Magenta pink,기본,29cm/여성/하의/02_미치코런던 코시노/(Uni) Vivid One-mile Pants Magenta pink/기본.jpg,https://img.29cm.co.kr/item/202604/11f139d80df672afbc92f7874a3faaea.jpg,https://www.29cm.co.kr/product/catalog/3914560
29cm,여성,하의,8,미치코런던 코시노,(Uni) Vivid One-mile Pants Dark navy,기본,29cm/여성/하의/08_미치코런던 코시노/(Uni) Vivid One-mile Pants Dark navy/기본.jpg,https://img.29cm.co.kr/item/202604/11f139d7d875d9e685eec77778b4385c.jpg,https://www.29cm.co.kr/product/catalog/3914562
29cm,여성,하의,11,랑거,slit double tie wide pants (3Color),기본,29cm/여성/하의/11_랑거/slit double tie wide pants (3Color)/기본.jpg,https://img.29cm.co.kr/item/202502/11efe51933ced2238f0abbe232441030.jpg,https://www.29cm.co.kr/product/catalog/3082429
29cm,여성,하의,13,론론,HEART POCKET TRUNK SHORT PANTS (9colors),기본,(이미지 미포함),https://img.29cm.co.kr/item/202604/11f13ec70dd409f1bc9235740553a722.jpg?width=1200&amp;format=webp,https://www.29cm.co.kr/product/catalog/3311905
29cm,여성,하의,17,미치코런던 코시노,Button Detail Shirring Pants Lemon butter,기본,29cm/여성/하의/17_미치코런던 코시노/Button Detail Shirring Pants Lemon butter/기본.jpg,https://img.29cm.co.kr/item/202605/11f14ec239fbefa283a411b840dc9939.jpg,https://www.29cm.co.kr/product/catalog/3947961
29cm,여성,신발,3,아디다스,[29CM단독 재입고] SL 72 OG - 브라운 / JR7527,기본,(이미지 미포함),https://img.29cm.co.kr/item/202606/11f1717ad923647bb357cd0bc1ff68e7.jpg?width=1200&amp;format=webp,https://www.29cm.co.kr/product/catalog/3377182
29cm,여성,신발,4,질 바이 질스튜어트,[홀리] 시어 메쉬 리본 플랫 4COLORS (JLSO6F690BK),기본,29cm/여성/신발/04_질 바이 질스튜어트/[홀리] 시어 메쉬 리본 플랫 4COLORS (JLSO6F690BK)/기본.jpg,https://img.29cm.co.kr/item/202601/11f0f4f8a54fc30ca3c06d1e1ad359d8.jpg,https://www.29cm.co.kr/product/catalog/3187803
29cm,여성,신발,6,위드아웃썸머,Simple flip-flop_black,기본,(이미지 미포함),https://img.29cm.co.kr/item/202606/11f15fdb00e610359f7f1baf67f7420e.jpg?width=1200&amp;format=webp,https://www.29cm.co.kr/product/catalog/4025741
29cm,여성,신발,7,락피쉬웨더웨어,GLAIR STRAPPY SANDALS - CLEAR STAR,기본,(이미지 미포함),https://img.29cm.co.kr/item/202604/11f13e45f54c9bc7bc922713fc54194d.jpg?width=1200&amp;format=webp,https://www.29cm.co.kr/product/catalog/3927279
29cm,여성,신발,10,에퓨레,ROY Round Maryjane (2color),기본,29cm/여성/신발/10_에퓨레/ROY Round Maryjane (2color)/기본.jpg,https://img.29cm.co.kr/item/202605/11f15afa8bc7fff39090e5e293d9c33f.jpg,https://www.29cm.co.kr/product/catalog/3102224
29cm,여성,신발,11,금강,FAIR LADY 여성 소가죽 리본 밴딩 플랫 RICPUC6012WFAIF1,기본,29cm/여성/신발/11_금강/FAIR LADY 여성 소가죽 리본 밴딩 플랫 RICPUC6012WFAIF1/기본.jpg,https://img.29cm.co.kr/item/202602/11f103356cc8e078a5402fda860a2c54.jpeg,https://www.29cm.co.kr/product/catalog/3772185
29cm,여성,신발,12,푸마,메모리아 샌들 - 블랙:실버 / 406430-01,기본,(이미지 미포함),https://img.29cm.co.kr/item/202603/11f12be2572e4845b49335ef13d06d86.jpg?width=1200&amp;format=webp,https://www.29cm.co.kr/product/catalog/3807905
29cm,여성,신발,13,나이키,[인플루언서 Pick] 스프린트 시스터 W - 리저록:오션 큐브:다크 신더:세일 / IR5693-256,기본,(이미지 미포함),https://img.29cm.co.kr/item/202604/11f13c632b37ebedbc920db2f48cfdd4.jpg?width=1200&amp;format=webp,https://www.29cm.co.kr/product/catalog/3829784
29cm,여성,신발,14,버켄스탁,보스턴 SFB 타우페 네로우 (560773),기본,(이미지 미포함),https://img.29cm.co.kr/item/202307/11ee2d3fc0a3e4a7bdfacf9d279bd7b6.jpg?width=1200&amp;format=webp,https://www.29cm.co.kr/product/catalog/2152377
