구분,성별,부위,순위,브랜드,아이템명,색상,이미지경로,이미지URL,디테일페이지URL
w컨셉,여성,상의,1,르메메,[7/29단하루!] [유니 pick]Ete Soft Draped Sleeveless_3colors,기본,w컨셉/여성/상의/01_르메메/[7_29단하루!] [유니 pick]Ete Soft Draped Sleeveless_3colors/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/70/308705270_add2_WP53943.jpg,https://www.wconcept.co.kr/Product/308705270
w컨셉,여성,상의,2,시티브리즈,[앵콜세일] 브리즈 인 시티 반팔 티셔츠_4COLORS,기본,w컨셉/여성/상의/02_시티브리즈/[앵콜세일] 브리즈 인 시티 반팔 티셔츠_4COLORS/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/56/307496756_add4_OK99818.jpg,https://www.wconcept.co.kr/Product/307496756
w컨셉,여성,상의,6,꼼파뇨,꼼파뇨 BEST 피그먼트 반팔티,기본,w컨셉/여성/상의/06_꼼파뇨/꼼파뇨 BEST 피그먼트 반팔티/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img2/14/306960514_CM94023.jpg,https://www.wconcept.co.kr/Product/306960514
w컨셉,여성,상의,8,반원 아틀리에,[유미 PICK]A3510 Nature heritage 티셔츠_3 colors,기본,w컨셉/여성/상의/08_반원 아틀리에/[유미 PICK]A3510 Nature heritage 티셔츠_3 colors/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/40/306595340_add5_TQ11098.jpg,https://www.wconcept.co.kr/Product/306595340
w컨셉,여성,상의,10,루에브르,[단독특가] Asymmetric Hem Short Sleeved T-Shirt SW5ME245_3color,기본,w컨셉/여성/상의/10_루에브르/[단독특가] Asymmetric Hem Short Sleeved T-Shirt SW5ME245_3color/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/74/306829874_add3_SB46068.jpg,https://www.wconcept.co.kr/Product/306829874
w컨셉,여성,상의,12,반원 아틀리에,[유미 PICK]A3540 루즈핏 Tube Duck 티셔츠,기본,w컨셉/여성/상의/12_반원 아틀리에/[유미 PICK]A3540 루즈핏 Tube Duck 티셔츠/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/66/306853766_add4_XJ68748.jpg,https://www.wconcept.co.kr/Product/306853766
w컨셉,여성,상의,15,꼼파뇨,꼼파뇨 BEST 그래픽 반팔티,기본,w컨셉/여성/상의/15_꼼파뇨/꼼파뇨 BEST 그래픽 반팔티/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img2/79/306960579_FU48727.jpg,https://www.wconcept.co.kr/Product/306960579
w컨셉,여성,상의,17,하나보,CREPE SMOCKING TUBE TOP (BLACK),기본,w컨셉/여성/상의/17_하나보/CREPE SMOCKING TUBE TOP (BLACK)/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/73/308773373_add4_AI92009.jpg,https://www.wconcept.co.kr/Product/308773373
w컨셉,여성,하의,13,닐바이피,[20%쿠폰] Semi curved casual pant Khaki [N6SPT03],기본,w컨셉/여성/하의/13_닐바이피/[20%쿠폰] Semi curved casual pant Khaki [N6SPT03]/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/98/308363898_add5_OK10651.jpg,https://www.wconcept.co.kr/Product/308363898
w컨셉,여성,하의,17,시야쥬,[30%쿠폰] SIPT7078 투턱 나일론 슬랙스_White,기본,w컨셉/여성/하의/17_시야쥬/[30%쿠폰] SIPT7078 투턱 나일론 슬랙스_White/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/37/302817637_add2_CK86190.jpg,https://www.wconcept.co.kr/Product/302817637
