구분,성별,부위,순위,브랜드,아이템명,색상,이미지경로,이미지URL,디테일페이지URL
지그재그,,여성_상의,1,프롬비기닝,[상의1등/팔뚝커버] 레이어 버튼 브이 반팔 니트,기본,지그재그/여성/상의/01_프롬비기닝/[상의1등_팔뚝커버] 레이어 버튼 브이 반팔 니트/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/7/7/20_202607071115500971_15054.jpeg,https://zigzag.kr/catalog/products/169170183
지그재그,,여성_상의,2,모어라운드,� [살안타템☀] [세트�셔츠+나시.어깨끈조절] 르몬 링클프리 오버핏 셔츠 끈나시 세트 -4color (여름셔츠/시스루셔츠/데일리룩/루즈핏셔츠/골지나시),기본,지그재그/여성/상의/02_모어라운드/� [살안타템☀] [세트�셔츠+나시.어깨끈조절] 르몬 링클프리 오버핏 셔츠 끈나시 세트 -4color (여름셔츠_시스루셔츠_데일리룩_루즈핏셔츠_/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2025/5/8/6309_202505081806420358_91107.jpeg,https://zigzag.kr/catalog/products/139964312
지그재그,,여성_상의,3,핫핑,[텐셀90/라이크실크✨][페이크레이어드][MADE] 투벨라 베이직핏 스트랩 일체형 뷔스티에 블라우스(44~88) (빅사이즈블라우스-반팔블라우스-텐셀블라우스-여리여리-여름하객룩),기본,지그재그/여성/상의/03_핫핑/[텐셀90_라이크실크✨][페이크레이어드][MADE] 투벨라 베이직핏 스트랩 일체형 뷔스티에 블라우스(44~88) (빅사이즈블라우스-반팔블라우스-/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/4/28/216_202604281041550730_40563.jpeg,https://zigzag.kr/catalog/products/169621775
지그재그,,여성_상의,5,효키,누적5만장�[자체제작] 쫀쫀 코튼 스판 반팔 레이어드 봄 여름 (늘어짐없음/세미크롭/무지티/기본티/이너티/굴림티/오버핏),기본,지그재그/여성/상의/05_효키/누적5만장�[자체제작] 쫀쫀 코튼 스판 반팔 레이어드 봄 여름 (늘어짐없음_세미크롭_무지티_기본티_이너티_굴림티_오버핏)/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/2/19/26762_202602191742330699_52944.jpeg,https://zigzag.kr/catalog/products/125021529
지그재그,,여성_상의,6,오뉴이,[여름하객룩/여름블라우스] 모노 셔링 리본 블라우스,기본,지그재그/여성/상의/06_오뉴이/[여름하객룩_여름블라우스] 모노 셔링 리본 블라우스/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/6/12/45208_202606121500030892_32132.jpeg,https://zigzag.kr/catalog/products/170319350
지그재그,,여성_상의,7,유리에,여름하객룩� [here you/타이set] 플로우 나일론 블라우스 - 4color (타이블라우스/커프스/보트넥/하객룩/데이트룩/여름블라우스/반팔),기본,지그재그/여성/상의/07_유리에/여름하객룩� [here you_타이set] 플로우 나일론 블라우스 - 4color (타이블라우스_커프스_보트넥_하객룩_데이트룩_여름블라우스_반팔/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/6/2/7274_202606021149390151_68878.jpeg,https://zigzag.kr/catalog/products/169739565
지그재그,,여성_상의,9,에드모어,[�라이브 앵콜세일][IS-BASIC] mts727 이즈 코튼 슬림 반팔 티셔츠,기본,지그재그/여성/상의/09_에드모어/[�라이브 앵콜세일][IS-BASIC] mts727 이즈 코튼 슬림 반팔 티셔츠/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/4/28/1988_202604280940050012_81142.jpeg,https://zigzag.kr/catalog/products/162044286
지그재그,,여성_상의,12,니썸,[품절대란블랙컬러추가�하객룩/여리핏/반팔블라우스/브이넥/린넨/레이스/데이트룩/반소매블라우스/]세라레이스반팔블라우스 - 3color,기본,지그재그/여성/상의/12_니썸/[품절대란블랙컬러추가�하객룩_여리핏_반팔블라우스_브이넥_린넨_레이스_데이트룩_반소매블라우스_]세라레이스반팔블라우스 - 3color/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/6/16/5875_202606161339450481_50441.jpeg,https://zigzag.kr/catalog/products/169713161
지그재그,,여성_상의,13,베이델리,[MADE]레나 오프숄더 셔링 반팔 티셔츠,기본,지그재그/여성/상의/13_베이델리/[MADE]레나 오프숄더 셔링 반팔 티셔츠/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/4/3/4600_202604031546070074_44967.jpeg,https://zigzag.kr/catalog/products/169292258
지그재그,,여성_상의,14,핫핑,[컬러추가�][피부예민OK][MADE] 마이빈_반팔ver 스퀘어넥 꽈배기 반팔니트티 (44~110) (꽈배기반팔니트-베이직니트티-반팔니트티-여름니트-데이트룩-직장인룩-체형커버),기본,지그재그/여성/상의/14_핫핑/[컬러추가�][피부예민OK][MADE] 마이빈_반팔ver 스퀘어넥 꽈배기 반팔니트티 (44~110) (꽈배기반팔니트-베이직니트티-반팔니트티-여름/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2025/6/26/216_202506261545520903_53369.jpeg,https://zigzag.kr/catalog/products/162017470
지그재그,,여성_상의,15,핫핑,[활용도200%][MADE] 델리안 배색 스트라이프 스쿼어넥 반팔티셔츠 (44~100) (빅사이즈티셔츠-단가라티셔츠-배색스트라이프패턴-베이직핏-베이직아이템-체형커버),기본,지그재그/여성/상의/15_핫핑/[활용도200%][MADE] 델리안 배색 스트라이프 스쿼어넥 반팔티셔츠 (44~100) (빅사이즈티셔츠-단가라티셔츠-배색스트라이프패턴-베이직핏-/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2025/8/25/216_202508251109420208_23751.jpeg,https://zigzag.kr/catalog/products/160165180
지그재그,,여성_상의,16,니썸,[FREE&L사이즈�모델소장/부유방커버✨레이스나시/레이어드나시/이너/슬리브리스/도트/도트나시/레이어드코디/여름나시/나시/레이어드/하객룩][made]페어링레이스나시 - 4color,기본,지그재그/여성/상의/16_니썸/[FREE&L사이즈�모델소장_부유방커버✨레이스나시_레이어드나시_이너_슬리브리스_도트_도트나시_레이어드코디_여름나시_나시_레이어드_하객룩][mad/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/5/11/5875_202605111633540053_15418.jpeg,https://zigzag.kr/catalog/products/168773499
지그재그,,여성_상의,17,오유세,넬리 브이넥 셔링 퍼프 레이스 빈티지 여름 한국 반팔 블라우스,기본,지그재그/여성/상의/17_오유세/넬리 브이넥 셔링 퍼프 레이스 빈티지 여름 한국 반팔 블라우스/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/4/25/27928_202604251104110339_45983.jpeg,https://zigzag.kr/catalog/products/169685553
지그재그,,여성_상의,18,니썸,[3일타임특가⏰5만장돌파유사품주의][오프숄더/하객룩/데이트룩/출근룩/살안타템/반팔블라우스/여름블라우스][MADE]러블린셔링블라우스 - 4color,기본,지그재그/여성/상의/18_니썸/[3일타임특가⏰5만장돌파유사품주의][오프숄더_하객룩_데이트룩_출근룩_살안타템_반팔블라우스_여름블라우스][MADE]러블린셔링블라우스 - 4colo/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/4/27/5875_202604271053470648_78792.jpeg,https://zigzag.kr/catalog/products/161164288
